....................
KOD,SIMPLE_NAM
01,ЖИВЫЕ ЖИВОТНЫЕ
0101,"ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ"
010121,ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
01012100,ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
0101210000,ЛОШАДИ ЖИВЫЕ: ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ
010129,ЛОШАДИ ПРОЧИЕ
01012910,"ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ, ПРОЧИЕ:"
0101291000,"ЛОШАДИ, ОСЛЫ, МУЛЫ И ЛОШАКИ ЖИВЫЕ, ПРОЧИЕ:"
01012990,ПРОЧИЕ ЛОШАДИ ЖИВЫЕ: ПРОЧИЕ
0101299000,ПРОЧИЕ ЛОШАДИ ЖИВЫЕ: ПРОЧИЕ
010130,"ОСЛЫ, ЖИВЫЕ"
01013000,"ОСЛЫ, ЖИВЫЕ"
0101300000,"ОСЛЫ, ЖИВЫЕ"
010190,ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
01019000,ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
0101900000,ПРОЧИЕ МУЛЫ И ЛОШАКИ ЖИВЫЕ
0102,КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ
010221,ЧИСТОПОРОДНЫЙ ПЛЕМЕННОЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ
01022110,"ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: НЕТЕЛИ"
0102211000,"ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: НЕТЕЛИ"
01022130,"ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: КОРОВЫ"
0102213000,"ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: КОРОВЫ"
01022190,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: ПРОЧИЕ"
0102219000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ: ПРОЧИЕ"
010229,ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ПРОЧИЙ
01022910,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: МАССОЙ НЕ БОЛЕЕ 80 КГ
0102291000,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: МАССОЙ НЕ БОЛЕЕ 80 КГ
01022921,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: УБОЙНЫЕ"
0102292100,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: УБОЙНЫЕ"
01022929,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: ПРОЧИЕ"
0102292900,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 80 КГ, НО НЕ БОЛЕЕ 160 КГ: ПРОЧИЕ"
01022941,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 160 КГ, НО НЕ БОЛЕЕ 300 КГ: УБОЙНЫЕ"
0102294100,"ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 160 КГ, НО НЕ БОЛЕЕ 300 КГ: УБОЙНЫЕ"
01022949,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 160 КГ, НО НЕ БОЛЕЕ 300 КГ: ПРОЧИЕ"
0102294900,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 160 КГ, НО НЕ БОЛЕЕ 300 КГ: ПРОЧИЕ"
01022951,"НЕТЕЛИ (САМКИ КРУПНОГО РОГАТОГО СКОТА ДО ПЕРВОГО ОТЕЛА), МАССОЙ БОЛЕЕ 300 КГ: УБОЙНЫЕ"
0102295100,"НЕТЕЛИ (САМКИ КРУПНОГО РОГАТОГО СКОТА ДО ПЕРВОГО ОТЕЛА), МАССОЙ БОЛЕЕ 300 КГ: УБОЙНЫЕ"
01022959,"НЕТЕЛИ (САМКИ КРУПНОГО РОГАТОГО СКОТА ДО ПЕРВОГО ОТЕЛА), МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
0102295900,"НЕТЕЛИ (САМКИ КРУПНОГО РОГАТОГО СКОТА ДО ПЕРВОГО ОТЕЛА), МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
01022961,КОРОВЫ УБОЙНЫЕ МАССОЙ БОЛЕЕ 300 КГ
